timestamp,open,high,low,close,volume
1773975600000,70415.48000000,70809.43000000,70388.00000000,70729.92000000,711.57589000
1773979200000,70729.93000000,70969.71000000,70557.91000000,70783.69000000,546.53749000
1773982800000,70783.70000000,70867.44000000,70521.73000000,70606.24000000,367.69531000
1773986400000,70606.23000000,70646.93000000,70346.49000000,70502.90000000,758.81391000
1773990000000,70502.91000000,70939.58000000,70160.06000000,70854.66000000,936.89906000
1773993600000,70854.66000000,71367.00000000,70800.00000000,71042.23000000,1011.96314000
1773997200000,71042.23000000,71042.23000000,70419.65000000,70583.80000000,885.49116000
1774000800000,70583.81000000,70670.43000000,70218.68000000,70611.68000000,609.11713000
1774004400000,70611.68000000,70810.81000000,70303.36000000,70478.71000000,605.56445000
1774008000000,70478.71000000,70685.63000000,70251.00000000,70342.63000000,613.27107000
1774011600000,70342.63000000,70613.75000000,69795.70000000,69863.84000000,1225.89394000
1774015200000,69863.85000000,70268.66000000,69589.38000000,69731.21000000,1679.84994000
1774018800000,69731.20000000,70002.68000000,69480.00000000,69860.09000000,1196.90076000
1774022400000,69860.09000000,70100.00000000,69608.54000000,69829.26000000,922.25773000
1774026000000,69829.27000000,70039.78000000,69388.00000000,70000.00000000,998.84797000
1774029600000,69999.99000000,70071.81000000,69525.33000000,69770.00000000,630.47960000
1774033200000,69770.01000000,70190.18000000,69673.76000000,70177.86000000,528.39593000
1774036800000,70177.85000000,70259.28000000,69754.71000000,70057.66000000,435.39665000
1774040400000,70057.66000000,70726.13000000,69946.65000000,70540.73000000,780.46042000
1774044000000,70540.72000000,70923.75000000,70532.00000000,70767.85000000,591.69583000
1774047600000,70767.85000000,70771.13000000,70430.00000000,70510.73000000,372.60008000
1774051200000,70510.73000000,70826.00000000,70467.36000000,70682.19000000,274.67077000
1774054800000,70682.20000000,70758.50000000,70445.36000000,70464.59000000,375.95226000
1774058400000,70464.60000000,70785.90000000,70431.67000000,70737.60000000,316.88084000
1774062000000,70737.60000000,70784.07000000,70632.39000000,70657.35000000,226.82019000
1774065600000,70657.35000000,70819.00000000,70617.05000000,70642.13000000,487.10407000
1774069200000,70642.14000000,70834.46000000,70635.10000000,70697.94000000,941.44912000
1774072800000,70697.94000000,70831.14000000,70693.06000000,70774.65000000,857.26608000
1774076400000,70773.55000000,70879.76000000,70677.44000000,70727.33000000,431.42703000
1774080000000,70727.33000000,70753.79000000,70492.02000000,70594.43000000,956.10118000
1774083600000,70594.42000000,70735.36000000,70570.40000000,70661.59000000,204.69969000
1774087200000,70661.59000000,70695.32000000,70559.69000000,70605.64000000,524.32782000
1774090800000,70605.64000000,70652.73000000,70567.79000000,70652.72000000,360.21459000
1774094400000,70652.73000000,70800.00000000,70652.73000000,70722.61000000,199.41863000
1774098000000,70722.61000000,70812.74000000,70707.12000000,70740.18000000,171.54370000
1774101600000,70740.18000000,71100.94000000,70592.53000000,70629.10000000,873.72717000
1774105200000,70629.09000000,70760.00000000,70453.09000000,70630.02000000,399.45062000
1774108800000,70630.02000000,70652.64000000,70251.00000000,70301.66000000,435.70425000
